x,y,sampleID
6.4722595,26.134745,msp_186
28.94304,47.134613,msp_187
27.307539,14.513775,msp_188
18.792892,4.6863136,msp_189
15.765862,24.335567,msp_190
31.60453,29.413511,msp_191
48.276443,12.606804,msp_192
43.917305,1.0916672,msp_193
36.92781,49.18469,msp_194
17.82903,39.176,msp_195
9.431725,29.69188,msp_196
29.7655,46.734825,msp_197
31.910648,21.944284,msp_198
31.056164,48.364708,msp_199
13.299595,24.020168,msp_200
6.357025,48.4921,msp_201
31.92986,9.592838,msp_202
1.096592,9.456924,msp_203
41.95096,29.543983,msp_204
39.06688,40.14243,msp_205
39.105656,0.7487469,msp_206
43.33513,42.448963,msp_207
6.593775,20.963676,msp_208
28.236576,42.47328,msp_209
19.69077,7.8483696,msp_210
43.950645,27.947336,msp_211
47.811134,11.443039,msp_212
13.561387,8.271875,msp_213
24.377577,46.704037,msp_214
26.407932,28.370914,msp_215
2.726118,14.753429,msp_216
25.360529,18.277012,msp_217
27.58329,25.27494,msp_218
8.863546,46.84511,msp_219
29.422173,20.433632,msp_220
29.55943,36.737114,msp_221
22.815292,13.471825,msp_222
9.478521,5.6106377,msp_223
9.337731,30.64501,msp_224
4.2594757,44.947918,msp_225
4.7591095,24.182411,msp_226
43.457024,22.0786,msp_227
34.96682,28.917967,msp_228
20.935322,38.655304,msp_229
46.662647,14.704688,msp_230
39.968185,5.9576283,msp_231
15.037813,12.389099,msp_232
4.8878117,23.592999,msp_233
2.152195,4.0485897,msp_234
2.7569122,42.86898,msp_235
18.904411,22.82989,msp_236
43.909584,30.012152,msp_237
26.58948,4.080187,msp_238
3.5235176,7.964485,msp_239
10.864114,26.013557,msp_240
41.474026,10.094648,msp_241
35.28157,31.678213,msp_242
35.897434,5.0298653,msp_243
13.170701,0.70812035,msp_244
25.966616,13.148527,msp_245
19.319792,44.82101,msp_246
41.91941,2.0152416,msp_247
21.362942,10.4355545,msp_248
22.219978,25.960844,msp_249
6.434454,38.43442,msp_250
31.185421,-0.76784897,msp_251
25.075092,10.189923,msp_252
3.8409138,20.950377,msp_253
8.46929,45.727547,msp_254
42.3246,33.04811,msp_255
42.279015,16.81392,msp_256
40.681286,14.73395,msp_257
4.4379196,19.220179,msp_258
40.933285,4.083084,msp_259
48.831654,4.110523,msp_260
33.50759,47.256424,msp_261
27.55249,12.762805,msp_262
17.67297,42.48432,msp_263
47.736156,39.551163,msp_264
48.71129,46.624714,msp_265
25.016773,15.017256,msp_266
8.805731,3.3654804,msp_267
7.3215485,17.058258,msp_268
39.762157,21.12234,msp_269
